experiment_group,source_file,status,protocol_id,method,subject_id,generator_seed,classifier_seed,selected_epoch,validation_misclass,test_misclass,n_real_train_trials,n_synthetic_train_trials,n_valid_trials,n_test_trials,n_channels,n_times,train_data_type,split_file,train_data_file,runtime_seconds,notes,error,test_accuracy,total_train_trials,synthetic_composition_pct
gaussian_augmentation,high-gamma-data/outputs/results/ratios/gaussian_augmentation_ratio_runs.csv,success,vae_repo_90_10_seed42,gaussian_cct_add_100pct_synth,3,1,0,49,0.1379310344827586,0.2083333333333333,259,259,29,288,22,1000,real_plus_synthetic_gaussian_cct,/home/jovyan/eeg-repro/high-gamma-data/data/processed/vae_repo_90_10_seed42/real_splits/S03_real_splits.npz,/home/jovyan/eeg-repro/high-gamma-data/data/generated/vae_repo_90_10_seed42/gaussian/gaussian_class_channel_time/S03_generator-seed1.npz,67.18215700984001,Additive augmentation with Gaussian class-channel-time synthetic EEG; all 259 real training trials retained; 259 synthetic trials added; synthetic amount=100% relative to original real training size; final training size=518; final synthetic composition=50.00%; synthetic subset class-stratified and nested; validation and official test sets remain entirely real.,,0.7916666666666667,518,50.0
gaussian_augmentation,high-gamma-data/outputs/results/ratios/gaussian_augmentation_ratio_runs.csv,success,vae_repo_90_10_seed42,gaussian_cct_add_100pct_synth,3,1,1,61,0.1724137931034483,0.1145833333333333,259,259,29,288,22,1000,real_plus_synthetic_gaussian_cct,/home/jovyan/eeg-repro/high-gamma-data/data/processed/vae_repo_90_10_seed42/real_splits/S03_real_splits.npz,/home/jovyan/eeg-repro/high-gamma-data/data/generated/vae_repo_90_10_seed42/gaussian/gaussian_class_channel_time/S03_generator-seed1.npz,89.15473828464746,Additive augmentation with Gaussian class-channel-time synthetic EEG; all 259 real training trials retained; 259 synthetic trials added; synthetic amount=100% relative to original real training size; final training size=518; final synthetic composition=50.00%; synthetic subset class-stratified and nested; validation and official test sets remain entirely real.,,0.8854166666666667,518,50.0
gaussian_augmentation,high-gamma-data/outputs/results/ratios/gaussian_augmentation_ratio_runs.csv,success,vae_repo_90_10_seed42,gaussian_cct_add_100pct_synth,3,1,2,60,0.1379310344827586,0.1458333333333333,259,259,29,288,22,1000,real_plus_synthetic_gaussian_cct,/home/jovyan/eeg-repro/high-gamma-data/data/processed/vae_repo_90_10_seed42/real_splits/S03_real_splits.npz,/home/jovyan/eeg-repro/high-gamma-data/data/generated/vae_repo_90_10_seed42/gaussian/gaussian_class_channel_time/S03_generator-seed1.npz,92.79827477782965,Additive augmentation with Gaussian class-channel-time synthetic EEG; all 259 real training trials retained; 259 synthetic trials added; synthetic amount=100% relative to original real training size; final training size=518; final synthetic composition=50.00%; synthetic subset class-stratified and nested; validation and official test sets remain entirely real.,,0.8541666666666667,518,50.0
gaussian_augmentation,high-gamma-data/outputs/results/ratios/gaussian_augmentation_ratio_runs.csv,success,vae_repo_90_10_seed42,gaussian_cct_add_100pct_synth,3,2,0,89,0.0689655172413793,0.1875,259,259,29,288,22,1000,real_plus_synthetic_gaussian_cct,/home/jovyan/eeg-repro/high-gamma-data/data/processed/vae_repo_90_10_seed42/real_splits/S03_real_splits.npz,/home/jovyan/eeg-repro/high-gamma-data/data/generated/vae_repo_90_10_seed42/gaussian/gaussian_class_channel_time/S03_generator-seed2.npz,124.46570306271316,Additive augmentation with Gaussian class-channel-time synthetic EEG; all 259 real training trials retained; 259 synthetic trials added; synthetic amount=100% relative to original real training size; final training size=518; final synthetic composition=50.00%; synthetic subset class-stratified and nested; validation and official test sets remain entirely real.,,0.8125,518,50.0
gaussian_augmentation,high-gamma-data/outputs/results/ratios/gaussian_augmentation_ratio_runs.csv,success,vae_repo_90_10_seed42,gaussian_cct_add_100pct_synth,3,2,1,61,0.1379310344827586,0.1909722222222222,259,259,29,288,22,1000,real_plus_synthetic_gaussian_cct,/home/jovyan/eeg-repro/high-gamma-data/data/processed/vae_repo_90_10_seed42/real_splits/S03_real_splits.npz,/home/jovyan/eeg-repro/high-gamma-data/data/generated/vae_repo_90_10_seed42/gaussian/gaussian_class_channel_time/S03_generator-seed2.npz,85.13112623244524,Additive augmentation with Gaussian class-channel-time synthetic EEG; all 259 real training trials retained; 259 synthetic trials added; synthetic amount=100% relative to original real training size; final training size=518; final synthetic composition=50.00%; synthetic subset class-stratified and nested; validation and official test sets remain entirely real.,,0.8090277777777778,518,50.0
gaussian_augmentation,high-gamma-data/outputs/results/ratios/gaussian_augmentation_ratio_runs.csv,success,vae_repo_90_10_seed42,gaussian_cct_add_100pct_synth,3,2,2,61,0.1034482758620689,0.1527777777777778,259,259,29,288,22,1000,real_plus_synthetic_gaussian_cct,/home/jovyan/eeg-repro/high-gamma-data/data/processed/vae_repo_90_10_seed42/real_splits/S03_real_splits.npz,/home/jovyan/eeg-repro/high-gamma-data/data/generated/vae_repo_90_10_seed42/gaussian/gaussian_class_channel_time/S03_generator-seed2.npz,120.16368373855948,Additive augmentation with Gaussian class-channel-time synthetic EEG; all 259 real training trials retained; 259 synthetic trials added; synthetic amount=100% relative to original real training size; final training size=518; final synthetic composition=50.00%; synthetic subset class-stratified and nested; validation and official test sets remain entirely real.,,0.8472222222222222,518,50.0
gaussian_augmentation,high-gamma-data/outputs/results/ratios/gaussian_augmentation_ratio_runs.csv,success,vae_repo_90_10_seed42,gaussian_cct_add_100pct_synth,4,0,0,55,0.4482758620689655,0.4340277777777778,259,259,29,288,22,1000,real_plus_synthetic_gaussian_cct,/home/jovyan/eeg-repro/high-gamma-data/data/processed/vae_repo_90_10_seed42/real_splits/S04_real_splits.npz,/home/jovyan/eeg-repro/high-gamma-data/data/generated/vae_repo_90_10_seed42/gaussian/gaussian_class_channel_time/S04_generator-seed0.npz,73.0151907838881,Additive augmentation with Gaussian class-channel-time synthetic EEG; all 259 real training trials retained; 259 synthetic trials added; synthetic amount=100% relative to original real training size; final training size=518; final synthetic composition=50.00%; synthetic subset class-stratified and nested; validation and official test sets remain entirely real.,,0.5659722222222222,518,50.0
gaussian_augmentation,high-gamma-data/outputs/results/ratios/gaussian_augmentation_ratio_runs.csv,success,vae_repo_90_10_seed42,gaussian_cct_add_100pct_synth,4,0,1,31,0.4827586206896551,0.4652777777777778,259,259,29,288,22,1000,real_plus_synthetic_gaussian_cct,/home/jovyan/eeg-repro/high-gamma-data/data/processed/vae_repo_90_10_seed42/real_splits/S04_real_splits.npz,/home/jovyan/eeg-repro/high-gamma-data/data/generated/vae_repo_90_10_seed42/gaussian/gaussian_class_channel_time/S04_generator-seed0.npz,65.92272118106484,Additive augmentation with Gaussian class-channel-time synthetic EEG; all 259 real training trials retained; 259 synthetic trials added; synthetic amount=100% relative to original real training size; final training size=518; final synthetic composition=50.00%; synthetic subset class-stratified and nested; validation and official test sets remain entirely real.,,0.5347222222222222,518,50.0
gaussian_augmentation,high-gamma-data/outputs/results/ratios/gaussian_augmentation_ratio_runs.csv,success,vae_repo_90_10_seed42,gaussian_cct_add_100pct_synth,4,0,2,37,0.3793103448275862,0.4618055555555556,259,259,29,288,22,1000,real_plus_synthetic_gaussian_cct,/home/jovyan/eeg-repro/high-gamma-data/data/processed/vae_repo_90_10_seed42/real_splits/S04_real_splits.npz,/home/jovyan/eeg-repro/high-gamma-data/data/generated/vae_repo_90_10_seed42/gaussian/gaussian_class_channel_time/S04_generator-seed0.npz,88.1056003458798,Additive augmentation with Gaussian class-channel-time synthetic EEG; all 259 real training trials retained; 259 synthetic trials added; synthetic amount=100% relative to original real training size; final training size=518; final synthetic composition=50.00%; synthetic subset class-stratified and nested; validation and official test sets remain entirely real.,,0.5381944444444444,518,50.0
gaussian_augmentation,high-gamma-data/outputs/results/ratios/gaussian_augmentation_ratio_runs.csv,success,vae_repo_90_10_seed42,gaussian_cct_add_100pct_synth,4,1,0,22,0.4137931034482759,0.4826388888888888,259,259,29,288,22,1000,real_plus_synthetic_gaussian_cct,/home/jovyan/eeg-repro/high-gamma-data/data/processed/vae_repo_90_10_seed42/real_splits/S04_real_splits.npz,/home/jovyan/eeg-repro/high-gamma-data/data/generated/vae_repo_90_10_seed42/gaussian/gaussian_class_channel_time/S04_generator-seed1.npz,69.8885187804699,Additive augmentation with Gaussian class-channel-time synthetic EEG; all 259 real training trials retained; 259 synthetic trials added; synthetic amount=100% relative to original real training size; final training size=518; final synthetic composition=50.00%; synthetic subset class-stratified and nested; validation and official test sets remain entirely real.,,0.5173611111111112,518,50.0
gaussian_augmentation,high-gamma-data/outputs/results/ratios/gaussian_augmentation_ratio_runs.csv,success,vae_repo_90_10_seed42,gaussian_cct_add_100pct_synth,4,1,1,66,0.3793103448275862,0.4652777777777778,259,259,29,288,22,1000,real_plus_synthetic_gaussian_cct,/home/jovyan/eeg-repro/high-gamma-data/data/processed/vae_repo_90_10_seed42/real_splits/S04_real_splits.npz,/home/jovyan/eeg-repro/high-gamma-data/data/generated/vae_repo_90_10_seed42/gaussian/gaussian_class_channel_time/S04_generator-seed1.npz,126.49413269758224,Additive augmentation with Gaussian class-channel-time synthetic EEG; all 259 real training trials retained; 259 synthetic trials added; synthetic amount=100% relative to original real training size; final training size=518; final synthetic composition=50.00%; synthetic subset class-stratified and nested; validation and official test sets remain entirely real.,,0.5347222222222222,518,50.0
gaussian_augmentation,high-gamma-data/outputs/results/ratios/gaussian_augmentation_ratio_runs.csv,success,vae_repo_90_10_seed42,gaussian_cct_add_100pct_synth,4,1,2,45,0.4482758620689655,0.4652777777777778,259,259,29,288,22,1000,real_plus_synthetic_gaussian_cct,/home/jovyan/eeg-repro/high-gamma-data/data/processed/vae_repo_90_10_seed42/real_splits/S04_real_splits.npz,/home/jovyan/eeg-repro/high-gamma-data/data/generated/vae_repo_90_10_seed42/gaussian/gaussian_class_channel_time/S04_generator-seed1.npz,71.00747907534242,Additive augmentation with Gaussian class-channel-time synthetic EEG; all 259 real training trials retained; 259 synthetic trials added; synthetic amount=100% relative to original real training size; final training size=518; final synthetic composition=50.00%; synthetic subset class-stratified and nested; validation and official test sets remain entirely real.,,0.5347222222222222,518,50.0
