status,protocol_id,method,subject_id,generator_seed,classifier_seed,selected_epoch,validation_misclass,test_misclass,n_real_train_trials,n_synthetic_train_trials,n_valid_trials,n_test_trials,n_channels,n_times,train_data_type,split_file,train_data_file,runtime_seconds,notes,error
success,gaussian_class_channel_time_fixed_size_ratios_90_10_seed42,gaussian_cct_replace_25pct_real,3,1,0,61,0.10344827586206895,0.1527777777777778,194,65,29,288,22,1000,real_gaussian_fixed_size_replacement,/home/jovyan/eeg-repro/high-gamma-data/data/processed/vae_repo_90_10_seed42/real_splits/S03_real_splits.npz,/home/jovyan/eeg-repro/high-gamma-data/data/generated/vae_repo_90_10_seed42/gaussian/gaussian_class_channel_time/S03_generator-seed1.npz,39.360231425613165,Fixed-size paired replacement; requested synthetic ratio=25%; real trials=194; synthetic trials=65; total trials=259; class counts and frozen label order preserved; replacement subsets nested across ratios; validation and test are real EEG,
success,gaussian_class_channel_time_fixed_size_ratios_90_10_seed42,gaussian_cct_replace_25pct_real,3,1,1,61,0.10344827586206895,0.13194444444444442,194,65,29,288,22,1000,real_gaussian_fixed_size_replacement,/home/jovyan/eeg-repro/high-gamma-data/data/processed/vae_repo_90_10_seed42/real_splits/S03_real_splits.npz,/home/jovyan/eeg-repro/high-gamma-data/data/generated/vae_repo_90_10_seed42/gaussian/gaussian_class_channel_time/S03_generator-seed1.npz,44.70714530721307,Fixed-size paired replacement; requested synthetic ratio=25%; real trials=194; synthetic trials=65; total trials=259; class counts and frozen label order preserved; replacement subsets nested across ratios; validation and test are real EEG,
success,gaussian_class_channel_time_fixed_size_ratios_90_10_seed42,gaussian_cct_replace_25pct_real,3,1,2,59,0.10344827586206895,0.15625,194,65,29,288,22,1000,real_gaussian_fixed_size_replacement,/home/jovyan/eeg-repro/high-gamma-data/data/processed/vae_repo_90_10_seed42/real_splits/S03_real_splits.npz,/home/jovyan/eeg-repro/high-gamma-data/data/generated/vae_repo_90_10_seed42/gaussian/gaussian_class_channel_time/S03_generator-seed1.npz,39.40199439227581,Fixed-size paired replacement; requested synthetic ratio=25%; real trials=194; synthetic trials=65; total trials=259; class counts and frozen label order preserved; replacement subsets nested across ratios; validation and test are real EEG,
success,gaussian_class_channel_time_fixed_size_ratios_90_10_seed42,gaussian_cct_replace_25pct_real,3,2,0,32,0.06896551724137934,0.17013888888888884,194,65,29,288,22,1000,real_gaussian_fixed_size_replacement,/home/jovyan/eeg-repro/high-gamma-data/data/processed/vae_repo_90_10_seed42/real_splits/S03_real_splits.npz,/home/jovyan/eeg-repro/high-gamma-data/data/generated/vae_repo_90_10_seed42/gaussian/gaussian_class_channel_time/S03_generator-seed2.npz,40.90880970284343,Fixed-size paired replacement; requested synthetic ratio=25%; real trials=194; synthetic trials=65; total trials=259; class counts and frozen label order preserved; replacement subsets nested across ratios; validation and test are real EEG,
success,gaussian_class_channel_time_fixed_size_ratios_90_10_seed42,gaussian_cct_replace_25pct_real,3,2,1,51,0.10344827586206895,0.18055555555555558,194,65,29,288,22,1000,real_gaussian_fixed_size_replacement,/home/jovyan/eeg-repro/high-gamma-data/data/processed/vae_repo_90_10_seed42/real_splits/S03_real_splits.npz,/home/jovyan/eeg-repro/high-gamma-data/data/generated/vae_repo_90_10_seed42/gaussian/gaussian_class_channel_time/S03_generator-seed2.npz,43.6022876650095,Fixed-size paired replacement; requested synthetic ratio=25%; real trials=194; synthetic trials=65; total trials=259; class counts and frozen label order preserved; replacement subsets nested across ratios; validation and test are real EEG,
success,gaussian_class_channel_time_fixed_size_ratios_90_10_seed42,gaussian_cct_replace_25pct_real,3,2,2,61,0.10344827586206895,0.17708333333333337,194,65,29,288,22,1000,real_gaussian_fixed_size_replacement,/home/jovyan/eeg-repro/high-gamma-data/data/processed/vae_repo_90_10_seed42/real_splits/S03_real_splits.npz,/home/jovyan/eeg-repro/high-gamma-data/data/generated/vae_repo_90_10_seed42/gaussian/gaussian_class_channel_time/S03_generator-seed2.npz,41.79830218479037,Fixed-size paired replacement; requested synthetic ratio=25%; real trials=194; synthetic trials=65; total trials=259; class counts and frozen label order preserved; replacement subsets nested across ratios; validation and test are real EEG,
success,gaussian_class_channel_time_fixed_size_ratios_90_10_seed42,gaussian_cct_replace_25pct_real,4,0,0,82,0.3448275862068966,0.4305555555555556,195,64,29,288,22,1000,real_gaussian_fixed_size_replacement,/home/jovyan/eeg-repro/high-gamma-data/data/processed/vae_repo_90_10_seed42/real_splits/S04_real_splits.npz,/home/jovyan/eeg-repro/high-gamma-data/data/generated/vae_repo_90_10_seed42/gaussian/gaussian_class_channel_time/S04_generator-seed0.npz,58.917772341519594,Fixed-size paired replacement; requested synthetic ratio=25%; real trials=195; synthetic trials=64; total trials=259; class counts and frozen label order preserved; replacement subsets nested across ratios; validation and test are real EEG,
success,gaussian_class_channel_time_fixed_size_ratios_90_10_seed42,gaussian_cct_replace_25pct_real,4,0,1,116,0.31034482758620685,0.4097222222222222,195,64,29,288,22,1000,real_gaussian_fixed_size_replacement,/home/jovyan/eeg-repro/high-gamma-data/data/processed/vae_repo_90_10_seed42/real_splits/S04_real_splits.npz,/home/jovyan/eeg-repro/high-gamma-data/data/generated/vae_repo_90_10_seed42/gaussian/gaussian_class_channel_time/S04_generator-seed0.npz,77.5095599219203,Fixed-size paired replacement; requested synthetic ratio=25%; real trials=195; synthetic trials=64; total trials=259; class counts and frozen label order preserved; replacement subsets nested across ratios; validation and test are real EEG,
success,gaussian_class_channel_time_fixed_size_ratios_90_10_seed42,gaussian_cct_replace_25pct_real,4,0,2,40,0.4137931034482759,0.4375,195,64,29,288,22,1000,real_gaussian_fixed_size_replacement,/home/jovyan/eeg-repro/high-gamma-data/data/processed/vae_repo_90_10_seed42/real_splits/S04_real_splits.npz,/home/jovyan/eeg-repro/high-gamma-data/data/generated/vae_repo_90_10_seed42/gaussian/gaussian_class_channel_time/S04_generator-seed0.npz,41.52577371895313,Fixed-size paired replacement; requested synthetic ratio=25%; real trials=195; synthetic trials=64; total trials=259; class counts and frozen label order preserved; replacement subsets nested across ratios; validation and test are real EEG,
success,gaussian_class_channel_time_fixed_size_ratios_90_10_seed42,gaussian_cct_replace_25pct_real,4,1,0,84,0.31034482758620685,0.4305555555555556,195,64,29,288,22,1000,real_gaussian_fixed_size_replacement,/home/jovyan/eeg-repro/high-gamma-data/data/processed/vae_repo_90_10_seed42/real_splits/S04_real_splits.npz,/home/jovyan/eeg-repro/high-gamma-data/data/generated/vae_repo_90_10_seed42/gaussian/gaussian_class_channel_time/S04_generator-seed1.npz,73.27885899320245,Fixed-size paired replacement; requested synthetic ratio=25%; real trials=195; synthetic trials=64; total trials=259; class counts and frozen label order preserved; replacement subsets nested across ratios; validation and test are real EEG,
