status,protocol_id,method,subject_id,generator_seed,classifier_seed,selected_epoch,validation_misclass,test_misclass,n_real_train_trials,n_synthetic_train_trials,n_valid_trials,n_test_trials,n_channels,n_times,train_data_type,split_file,train_data_file,runtime_seconds,notes,error
success,vae_repo_90_10_seed42,gaussian_cct_add_100pct_synth,1,1,0,37,0.13793103448275867,0.32291666666666663,259,259,29,288,22,1000,real_plus_synthetic_gaussian_cct,/home/jovyan/eeg-repro/high-gamma-data/data/processed/vae_repo_90_10_seed42/real_splits/S01_real_splits.npz,/home/jovyan/eeg-repro/high-gamma-data/data/generated/vae_repo_90_10_seed42/gaussian/gaussian_class_channel_time/S01_generator-seed1.npz,89.65342384204268,Additive augmentation with Gaussian class-channel-time synthetic EEG; all 259 real training trials retained; 259 synthetic trials added; synthetic amount=100% relative to original real training size; final training size=518; final synthetic composition=50.00%; synthetic subset class-stratified and nested; validation and official test sets remain entirely real.,
success,vae_repo_90_10_seed42,gaussian_cct_add_100pct_synth,1,1,1,44,0.2068965517241379,0.3125,259,259,29,288,22,1000,real_plus_synthetic_gaussian_cct,/home/jovyan/eeg-repro/high-gamma-data/data/processed/vae_repo_90_10_seed42/real_splits/S01_real_splits.npz,/home/jovyan/eeg-repro/high-gamma-data/data/generated/vae_repo_90_10_seed42/gaussian/gaussian_class_channel_time/S01_generator-seed1.npz,76.46126604452729,Additive augmentation with Gaussian class-channel-time synthetic EEG; all 259 real training trials retained; 259 synthetic trials added; synthetic amount=100% relative to original real training size; final training size=518; final synthetic composition=50.00%; synthetic subset class-stratified and nested; validation and official test sets remain entirely real.,
success,vae_repo_90_10_seed42,gaussian_cct_add_100pct_synth,1,1,2,38,0.2068965517241379,0.2881944444444444,259,259,29,288,22,1000,real_plus_synthetic_gaussian_cct,/home/jovyan/eeg-repro/high-gamma-data/data/processed/vae_repo_90_10_seed42/real_splits/S01_real_splits.npz,/home/jovyan/eeg-repro/high-gamma-data/data/generated/vae_repo_90_10_seed42/gaussian/gaussian_class_channel_time/S01_generator-seed1.npz,62.91725695133209,Additive augmentation with Gaussian class-channel-time synthetic EEG; all 259 real training trials retained; 259 synthetic trials added; synthetic amount=100% relative to original real training size; final training size=518; final synthetic composition=50.00%; synthetic subset class-stratified and nested; validation and official test sets remain entirely real.,
success,vae_repo_90_10_seed42,gaussian_cct_add_25pct_synth,1,2,0,24,0.13793103448275867,0.28125,259,65,29,288,22,1000,real_plus_synthetic_gaussian_cct,/home/jovyan/eeg-repro/high-gamma-data/data/processed/vae_repo_90_10_seed42/real_splits/S01_real_splits.npz,/home/jovyan/eeg-repro/high-gamma-data/data/generated/vae_repo_90_10_seed42/gaussian/gaussian_class_channel_time/S01_generator-seed2.npz,42.280633226037025,Additive augmentation with Gaussian class-channel-time synthetic EEG; all 259 real training trials retained; 65 synthetic trials added; synthetic amount=25% relative to original real training size; final training size=324; final synthetic composition=20.06%; synthetic subset class-stratified and nested; validation and official test sets remain entirely real.,
success,vae_repo_90_10_seed42,gaussian_cct_add_25pct_synth,1,2,1,49,0.13793103448275867,0.22916666666666663,259,65,29,288,22,1000,real_plus_synthetic_gaussian_cct,/home/jovyan/eeg-repro/high-gamma-data/data/processed/vae_repo_90_10_seed42/real_splits/S01_real_splits.npz,/home/jovyan/eeg-repro/high-gamma-data/data/generated/vae_repo_90_10_seed42/gaussian/gaussian_class_channel_time/S01_generator-seed2.npz,53.0020792260766,Additive augmentation with Gaussian class-channel-time synthetic EEG; all 259 real training trials retained; 65 synthetic trials added; synthetic amount=25% relative to original real training size; final training size=324; final synthetic composition=20.06%; synthetic subset class-stratified and nested; validation and official test sets remain entirely real.,
success,vae_repo_90_10_seed42,gaussian_cct_add_25pct_synth,1,2,2,65,0.13793103448275867,0.2534722222222222,259,65,29,288,22,1000,real_plus_synthetic_gaussian_cct,/home/jovyan/eeg-repro/high-gamma-data/data/processed/vae_repo_90_10_seed42/real_splits/S01_real_splits.npz,/home/jovyan/eeg-repro/high-gamma-data/data/generated/vae_repo_90_10_seed42/gaussian/gaussian_class_channel_time/S01_generator-seed2.npz,54.26632463932037,Additive augmentation with Gaussian class-channel-time synthetic EEG; all 259 real training trials retained; 65 synthetic trials added; synthetic amount=25% relative to original real training size; final training size=324; final synthetic composition=20.06%; synthetic subset class-stratified and nested; validation and official test sets remain entirely real.,
success,vae_repo_90_10_seed42,gaussian_cct_add_50pct_synth,1,2,0,48,0.1724137931034483,0.2881944444444444,259,129,29,288,22,1000,real_plus_synthetic_gaussian_cct,/home/jovyan/eeg-repro/high-gamma-data/data/processed/vae_repo_90_10_seed42/real_splits/S01_real_splits.npz,/home/jovyan/eeg-repro/high-gamma-data/data/generated/vae_repo_90_10_seed42/gaussian/gaussian_class_channel_time/S01_generator-seed2.npz,48.68982056900859,Additive augmentation with Gaussian class-channel-time synthetic EEG; all 259 real training trials retained; 129 synthetic trials added; synthetic amount=50% relative to original real training size; final training size=388; final synthetic composition=33.25%; synthetic subset class-stratified and nested; validation and official test sets remain entirely real.,
success,vae_repo_90_10_seed42,gaussian_cct_add_50pct_synth,1,2,1,56,0.13793103448275867,0.30208333333333337,259,129,29,288,22,1000,real_plus_synthetic_gaussian_cct,/home/jovyan/eeg-repro/high-gamma-data/data/processed/vae_repo_90_10_seed42/real_splits/S01_real_splits.npz,/home/jovyan/eeg-repro/high-gamma-data/data/generated/vae_repo_90_10_seed42/gaussian/gaussian_class_channel_time/S01_generator-seed2.npz,50.82813682407141,Additive augmentation with Gaussian class-channel-time synthetic EEG; all 259 real training trials retained; 129 synthetic trials added; synthetic amount=50% relative to original real training size; final training size=388; final synthetic composition=33.25%; synthetic subset class-stratified and nested; validation and official test sets remain entirely real.,
success,vae_repo_90_10_seed42,gaussian_cct_add_50pct_synth,1,2,2,49,0.1724137931034483,0.3159722222222222,259,129,29,288,22,1000,real_plus_synthetic_gaussian_cct,/home/jovyan/eeg-repro/high-gamma-data/data/processed/vae_repo_90_10_seed42/real_splits/S01_real_splits.npz,/home/jovyan/eeg-repro/high-gamma-data/data/generated/vae_repo_90_10_seed42/gaussian/gaussian_class_channel_time/S01_generator-seed2.npz,47.60520150512457,Additive augmentation with Gaussian class-channel-time synthetic EEG; all 259 real training trials retained; 129 synthetic trials added; synthetic amount=50% relative to original real training size; final training size=388; final synthetic composition=33.25%; synthetic subset class-stratified and nested; validation and official test sets remain entirely real.,
success,vae_repo_90_10_seed42,gaussian_cct_add_75pct_synth,1,2,0,34,0.24137931034482762,0.3159722222222222,259,194,29,288,22,1000,real_plus_synthetic_gaussian_cct,/home/jovyan/eeg-repro/high-gamma-data/data/processed/vae_repo_90_10_seed42/real_splits/S01_real_splits.npz,/home/jovyan/eeg-repro/high-gamma-data/data/generated/vae_repo_90_10_seed42/gaussian/gaussian_class_channel_time/S01_generator-seed2.npz,47.66508614271879,Additive augmentation with Gaussian class-channel-time synthetic EEG; all 259 real training trials retained; 194 synthetic trials added; synthetic amount=75% relative to original real training size; final training size=453; final synthetic composition=42.83%; synthetic subset class-stratified and nested; validation and official test sets remain entirely real.,
success,vae_repo_90_10_seed42,gaussian_cct_add_75pct_synth,1,2,1,30,0.13793103448275867,0.33333333333333337,259,194,29,288,22,1000,real_plus_synthetic_gaussian_cct,/home/jovyan/eeg-repro/high-gamma-data/data/processed/vae_repo_90_10_seed42/real_splits/S01_real_splits.npz,/home/jovyan/eeg-repro/high-gamma-data/data/generated/vae_repo_90_10_seed42/gaussian/gaussian_class_channel_time/S01_generator-seed2.npz,70.45715056359768,Additive augmentation with Gaussian class-channel-time synthetic EEG; all 259 real training trials retained; 194 synthetic trials added; synthetic amount=75% relative to original real training size; final training size=453; final synthetic composition=42.83%; synthetic subset class-stratified and nested; validation and official test sets remain entirely real.,
success,vae_repo_90_10_seed42,gaussian_cct_add_75pct_synth,1,2,2,67,0.2068965517241379,0.3090277777777778,259,194,29,288,22,1000,real_plus_synthetic_gaussian_cct,/home/jovyan/eeg-repro/high-gamma-data/data/processed/vae_repo_90_10_seed42/real_splits/S01_real_splits.npz,/home/jovyan/eeg-repro/high-gamma-data/data/generated/vae_repo_90_10_seed42/gaussian/gaussian_class_channel_time/S01_generator-seed2.npz,84.96662232279778,Additive augmentation with Gaussian class-channel-time synthetic EEG; all 259 real training trials retained; 194 synthetic trials added; synthetic amount=75% relative to original real training size; final training size=453; final synthetic composition=42.83%; synthetic subset class-stratified and nested; validation and official test sets remain entirely real.,
success,vae_repo_90_10_seed42,gaussian_cct_add_100pct_synth,1,2,0,10,0.2068965517241379,0.3993055555555556,259,259,29,288,22,1000,real_plus_synthetic_gaussian_cct,/home/jovyan/eeg-repro/high-gamma-data/data/processed/vae_repo_90_10_seed42/real_splits/S01_real_splits.npz,/home/jovyan/eeg-repro/high-gamma-data/data/generated/vae_repo_90_10_seed42/gaussian/gaussian_class_channel_time/S01_generator-seed2.npz,53.954767391085625,Additive augmentation with Gaussian class-channel-time synthetic EEG; all 259 real training trials retained; 259 synthetic trials added; synthetic amount=100% relative to original real training size; final training size=518; final synthetic composition=50.00%; synthetic subset class-stratified and nested; validation and official test sets remain entirely real.,
success,vae_repo_90_10_seed42,gaussian_cct_add_100pct_synth,1,2,1,81,0.2068965517241379,0.30208333333333337,259,259,29,288,22,1000,real_plus_synthetic_gaussian_cct,/home/jovyan/eeg-repro/high-gamma-data/data/processed/vae_repo_90_10_seed42/real_splits/S01_real_splits.npz,/home/jovyan/eeg-repro/high-gamma-data/data/generated/vae_repo_90_10_seed42/gaussian/gaussian_class_channel_time/S01_generator-seed2.npz,106.16399621963501,Additive augmentation with Gaussian class-channel-time synthetic EEG; all 259 real training trials retained; 259 synthetic trials added; synthetic amount=100% relative to original real training size; final training size=518; final synthetic composition=50.00%; synthetic subset class-stratified and nested; validation and official test sets remain entirely real.,
success,vae_repo_90_10_seed42,gaussian_cct_add_100pct_synth,1,2,2,53,0.24137931034482762,0.3194444444444444,259,259,29,288,22,1000,real_plus_synthetic_gaussian_cct,/home/jovyan/eeg-repro/high-gamma-data/data/processed/vae_repo_90_10_seed42/real_splits/S01_real_splits.npz,/home/jovyan/eeg-repro/high-gamma-data/data/generated/vae_repo_90_10_seed42/gaussian/gaussian_class_channel_time/S01_generator-seed2.npz,70.41094209626317,Additive augmentation with Gaussian class-channel-time synthetic EEG; all 259 real training trials retained; 259 synthetic trials added; synthetic amount=100% relative to original real training size; final training size=518; final synthetic composition=50.00%; synthetic subset class-stratified and nested; validation and official test sets remain entirely real.,
success,vae_repo_90_10_seed42,gaussian_cct_add_25pct_synth,2,0,0,38,0.4482758620689655,0.5381944444444444,259,65,29,288,22,1000,real_plus_synthetic_gaussian_cct,/home/jovyan/eeg-repro/high-gamma-data/data/processed/vae_repo_90_10_seed42/real_splits/S02_real_splits.npz,/home/jovyan/eeg-repro/high-gamma-data/data/generated/vae_repo_90_10_seed42/gaussian/gaussian_class_channel_time/S02_generator-seed0.npz,34.830986734479666,Additive augmentation with Gaussian class-channel-time synthetic EEG; all 259 real training trials retained; 65 synthetic trials added; synthetic amount=25% relative to original real training size; final training size=324; final synthetic composition=20.06%; synthetic subset class-stratified and nested; validation and official test sets remain entirely real.,
success,vae_repo_90_10_seed42,gaussian_cct_add_25pct_synth,2,0,1,62,0.4137931034482759,0.5416666666666667,259,65,29,288,22,1000,real_plus_synthetic_gaussian_cct,/home/jovyan/eeg-repro/high-gamma-data/data/processed/vae_repo_90_10_seed42/real_splits/S02_real_splits.npz,/home/jovyan/eeg-repro/high-gamma-data/data/generated/vae_repo_90_10_seed42/gaussian/gaussian_class_channel_time/S02_generator-seed0.npz,50.193697445094585,Additive augmentation with Gaussian class-channel-time synthetic EEG; all 259 real training trials retained; 65 synthetic trials added; synthetic amount=25% relative to original real training size; final training size=324; final synthetic composition=20.06%; synthetic subset class-stratified and nested; validation and official test sets remain entirely real.,
success,vae_repo_90_10_seed42,gaussian_cct_add_25pct_synth,2,0,2,67,0.4137931034482759,0.48958333333333337,259,65,29,288,22,1000,real_plus_synthetic_gaussian_cct,/home/jovyan/eeg-repro/high-gamma-data/data/processed/vae_repo_90_10_seed42/real_splits/S02_real_splits.npz,/home/jovyan/eeg-repro/high-gamma-data/data/generated/vae_repo_90_10_seed42/gaussian/gaussian_class_channel_time/S02_generator-seed0.npz,54.30827567726374,Additive augmentation with Gaussian class-channel-time synthetic EEG; all 259 real training trials retained; 65 synthetic trials added; synthetic amount=25% relative to original real training size; final training size=324; final synthetic composition=20.06%; synthetic subset class-stratified and nested; validation and official test sets remain entirely real.,
