status,protocol_id,method,subject_id,generator_seed,classifier_seed,selected_epoch,validation_misclass,test_misclass,n_real_train_trials,n_synthetic_train_trials,n_valid_trials,n_test_trials,n_channels,n_times,train_data_type,split_file,train_data_file,runtime_seconds,notes,error
success,vae_reconstruction_fixed_size_ratios_90_10_seed42,vae_replace_25pct_real,3,1,0,57,0.06896551724137934,0.10416666666666663,194,65,29,288,22,1000,real_vae_fixed_size_replacement,/home/jovyan/eeg-repro/high-gamma-data/data/processed/vae_repo_90_10_seed42/real_splits/S03_real_splits.npz,/home/jovyan/eeg-repro/high-gamma-data/data/generated/vae_repo_90_10_seed42/vae_reconstruction/S03_generator-seed1.npz,37.319123923778534,Fixed-size paired replacement; requested synthetic ratio=25%; real trials=194; synthetic trials=65; total trials=259; class counts and frozen label order preserved; replacement subsets nested across ratios; validation and test are real EEG,
success,vae_reconstruction_fixed_size_ratios_90_10_seed42,vae_replace_25pct_real,3,1,1,72,0.06896551724137934,0.1284722222222222,194,65,29,288,22,1000,real_vae_fixed_size_replacement,/home/jovyan/eeg-repro/high-gamma-data/data/processed/vae_repo_90_10_seed42/real_splits/S03_real_splits.npz,/home/jovyan/eeg-repro/high-gamma-data/data/generated/vae_repo_90_10_seed42/vae_reconstruction/S03_generator-seed1.npz,45.33791897818446,Fixed-size paired replacement; requested synthetic ratio=25%; real trials=194; synthetic trials=65; total trials=259; class counts and frozen label order preserved; replacement subsets nested across ratios; validation and test are real EEG,
success,vae_reconstruction_fixed_size_ratios_90_10_seed42,vae_replace_25pct_real,3,1,2,81,0.03448275862068961,0.14930555555555558,194,65,29,288,22,1000,real_vae_fixed_size_replacement,/home/jovyan/eeg-repro/high-gamma-data/data/processed/vae_repo_90_10_seed42/real_splits/S03_real_splits.npz,/home/jovyan/eeg-repro/high-gamma-data/data/generated/vae_repo_90_10_seed42/vae_reconstruction/S03_generator-seed1.npz,51.7218909598887,Fixed-size paired replacement; requested synthetic ratio=25%; real trials=194; synthetic trials=65; total trials=259; class counts and frozen label order preserved; replacement subsets nested across ratios; validation and test are real EEG,
success,vae_reconstruction_fixed_size_ratios_90_10_seed42,vae_replace_25pct_real,3,2,0,64,0.03448275862068961,0.12152777777777779,194,65,29,288,22,1000,real_vae_fixed_size_replacement,/home/jovyan/eeg-repro/high-gamma-data/data/processed/vae_repo_90_10_seed42/real_splits/S03_real_splits.npz,/home/jovyan/eeg-repro/high-gamma-data/data/generated/vae_repo_90_10_seed42/vae_reconstruction/S03_generator-seed2.npz,54.71953320130706,Fixed-size paired replacement; requested synthetic ratio=25%; real trials=194; synthetic trials=65; total trials=259; class counts and frozen label order preserved; replacement subsets nested across ratios; validation and test are real EEG,
success,vae_reconstruction_fixed_size_ratios_90_10_seed42,vae_replace_25pct_real,3,2,1,67,0.06896551724137934,0.14930555555555558,194,65,29,288,22,1000,real_vae_fixed_size_replacement,/home/jovyan/eeg-repro/high-gamma-data/data/processed/vae_repo_90_10_seed42/real_splits/S03_real_splits.npz,/home/jovyan/eeg-repro/high-gamma-data/data/generated/vae_repo_90_10_seed42/vae_reconstruction/S03_generator-seed2.npz,43.31750249117613,Fixed-size paired replacement; requested synthetic ratio=25%; real trials=194; synthetic trials=65; total trials=259; class counts and frozen label order preserved; replacement subsets nested across ratios; validation and test are real EEG,
success,vae_reconstruction_fixed_size_ratios_90_10_seed42,vae_replace_25pct_real,3,2,2,51,0.06896551724137934,0.14930555555555558,194,65,29,288,22,1000,real_vae_fixed_size_replacement,/home/jovyan/eeg-repro/high-gamma-data/data/processed/vae_repo_90_10_seed42/real_splits/S03_real_splits.npz,/home/jovyan/eeg-repro/high-gamma-data/data/generated/vae_repo_90_10_seed42/vae_reconstruction/S03_generator-seed2.npz,34.099215775728226,Fixed-size paired replacement; requested synthetic ratio=25%; real trials=194; synthetic trials=65; total trials=259; class counts and frozen label order preserved; replacement subsets nested across ratios; validation and test are real EEG,
success,vae_reconstruction_fixed_size_ratios_90_10_seed42,vae_replace_25pct_real,4,0,0,44,0.3448275862068966,0.35763888888888884,195,64,29,288,22,1000,real_vae_fixed_size_replacement,/home/jovyan/eeg-repro/high-gamma-data/data/processed/vae_repo_90_10_seed42/real_splits/S04_real_splits.npz,/home/jovyan/eeg-repro/high-gamma-data/data/generated/vae_repo_90_10_seed42/vae_reconstruction/S04_generator-seed0.npz,28.923632226884365,Fixed-size paired replacement; requested synthetic ratio=25%; real trials=195; synthetic trials=64; total trials=259; class counts and frozen label order preserved; replacement subsets nested across ratios; validation and test are real EEG,
success,vae_reconstruction_fixed_size_ratios_90_10_seed42,vae_replace_25pct_real,4,0,1,50,0.2068965517241379,0.3194444444444444,195,64,29,288,22,1000,real_vae_fixed_size_replacement,/home/jovyan/eeg-repro/high-gamma-data/data/processed/vae_repo_90_10_seed42/real_splits/S04_real_splits.npz,/home/jovyan/eeg-repro/high-gamma-data/data/generated/vae_repo_90_10_seed42/vae_reconstruction/S04_generator-seed0.npz,49.80192010477185,Fixed-size paired replacement; requested synthetic ratio=25%; real trials=195; synthetic trials=64; total trials=259; class counts and frozen label order preserved; replacement subsets nested across ratios; validation and test are real EEG,
success,vae_reconstruction_fixed_size_ratios_90_10_seed42,vae_replace_25pct_real,4,0,2,80,0.24137931034482762,0.29513888888888884,195,64,29,288,22,1000,real_vae_fixed_size_replacement,/home/jovyan/eeg-repro/high-gamma-data/data/processed/vae_repo_90_10_seed42/real_splits/S04_real_splits.npz,/home/jovyan/eeg-repro/high-gamma-data/data/generated/vae_repo_90_10_seed42/vae_reconstruction/S04_generator-seed0.npz,51.23270893469453,Fixed-size paired replacement; requested synthetic ratio=25%; real trials=195; synthetic trials=64; total trials=259; class counts and frozen label order preserved; replacement subsets nested across ratios; validation and test are real EEG,
success,vae_reconstruction_fixed_size_ratios_90_10_seed42,vae_replace_25pct_real,4,1,0,15,0.3448275862068966,0.42361111111111116,195,64,29,288,22,1000,real_vae_fixed_size_replacement,/home/jovyan/eeg-repro/high-gamma-data/data/processed/vae_repo_90_10_seed42/real_splits/S04_real_splits.npz,/home/jovyan/eeg-repro/high-gamma-data/data/generated/vae_repo_90_10_seed42/vae_reconstruction/S04_generator-seed1.npz,28.978729628026485,Fixed-size paired replacement; requested synthetic ratio=25%; real trials=195; synthetic trials=64; total trials=259; class counts and frozen label order preserved; replacement subsets nested across ratios; validation and test are real EEG,
success,vae_reconstruction_fixed_size_ratios_90_10_seed42,vae_replace_25pct_real,4,1,1,77,0.27586206896551724,0.29166666666666663,195,64,29,288,22,1000,real_vae_fixed_size_replacement,/home/jovyan/eeg-repro/high-gamma-data/data/processed/vae_repo_90_10_seed42/real_splits/S04_real_splits.npz,/home/jovyan/eeg-repro/high-gamma-data/data/generated/vae_repo_90_10_seed42/vae_reconstruction/S04_generator-seed1.npz,50.04474748298526,Fixed-size paired replacement; requested synthetic ratio=25%; real trials=195; synthetic trials=64; total trials=259; class counts and frozen label order preserved; replacement subsets nested across ratios; validation and test are real EEG,
success,vae_reconstruction_fixed_size_ratios_90_10_seed42,vae_replace_25pct_real,4,1,2,87,0.2068965517241379,0.3090277777777778,195,64,29,288,22,1000,real_vae_fixed_size_replacement,/home/jovyan/eeg-repro/high-gamma-data/data/processed/vae_repo_90_10_seed42/real_splits/S04_real_splits.npz,/home/jovyan/eeg-repro/high-gamma-data/data/generated/vae_repo_90_10_seed42/vae_reconstruction/S04_generator-seed1.npz,59.63321603834629,Fixed-size paired replacement; requested synthetic ratio=25%; real trials=195; synthetic trials=64; total trials=259; class counts and frozen label order preserved; replacement subsets nested across ratios; validation and test are real EEG,
success,vae_reconstruction_fixed_size_ratios_90_10_seed42,vae_replace_25pct_real,4,2,0,44,0.31034482758620685,0.36458333333333337,195,64,29,288,22,1000,real_vae_fixed_size_replacement,/home/jovyan/eeg-repro/high-gamma-data/data/processed/vae_repo_90_10_seed42/real_splits/S04_real_splits.npz,/home/jovyan/eeg-repro/high-gamma-data/data/generated/vae_repo_90_10_seed42/vae_reconstruction/S04_generator-seed2.npz,28.44154528900981,Fixed-size paired replacement; requested synthetic ratio=25%; real trials=195; synthetic trials=64; total trials=259; class counts and frozen label order preserved; replacement subsets nested across ratios; validation and test are real EEG,
success,vae_reconstruction_fixed_size_ratios_90_10_seed42,vae_replace_25pct_real,4,2,1,61,0.2068965517241379,0.29513888888888884,195,64,29,288,22,1000,real_vae_fixed_size_replacement,/home/jovyan/eeg-repro/high-gamma-data/data/processed/vae_repo_90_10_seed42/real_splits/S04_real_splits.npz,/home/jovyan/eeg-repro/high-gamma-data/data/generated/vae_repo_90_10_seed42/vae_reconstruction/S04_generator-seed2.npz,58.028094448149204,Fixed-size paired replacement; requested synthetic ratio=25%; real trials=195; synthetic trials=64; total trials=259; class counts and frozen label order preserved; replacement subsets nested across ratios; validation and test are real EEG,
success,vae_reconstruction_fixed_size_ratios_90_10_seed42,vae_replace_25pct_real,4,2,2,77,0.2068965517241379,0.30208333333333337,195,64,29,288,22,1000,real_vae_fixed_size_replacement,/home/jovyan/eeg-repro/high-gamma-data/data/processed/vae_repo_90_10_seed42/real_splits/S04_real_splits.npz,/home/jovyan/eeg-repro/high-gamma-data/data/generated/vae_repo_90_10_seed42/vae_reconstruction/S04_generator-seed2.npz,59.45986331626773,Fixed-size paired replacement; requested synthetic ratio=25%; real trials=195; synthetic trials=64; total trials=259; class counts and frozen label order preserved; replacement subsets nested across ratios; validation and test are real EEG,
success,vae_reconstruction_fixed_size_ratios_90_10_seed42,vae_replace_25pct_real,5,0,0,91,0.13793103448275867,0.5277777777777778,194,65,29,288,22,1000,real_vae_fixed_size_replacement,/home/jovyan/eeg-repro/high-gamma-data/data/processed/vae_repo_90_10_seed42/real_splits/S05_real_splits.npz,/home/jovyan/eeg-repro/high-gamma-data/data/generated/vae_repo_90_10_seed42/vae_reconstruction/S05_generator-seed0.npz,59.70156965777278,Fixed-size paired replacement; requested synthetic ratio=25%; real trials=194; synthetic trials=65; total trials=259; class counts and frozen label order preserved; replacement subsets nested across ratios; validation and test are real EEG,
success,vae_reconstruction_fixed_size_ratios_90_10_seed42,vae_replace_25pct_real,5,0,1,110,0.10344827586206895,0.6458333333333333,194,65,29,288,22,1000,real_vae_fixed_size_replacement,/home/jovyan/eeg-repro/high-gamma-data/data/processed/vae_repo_90_10_seed42/real_splits/S05_real_splits.npz,/home/jovyan/eeg-repro/high-gamma-data/data/generated/vae_repo_90_10_seed42/vae_reconstruction/S05_generator-seed0.npz,76.09532917663455,Fixed-size paired replacement; requested synthetic ratio=25%; real trials=194; synthetic trials=65; total trials=259; class counts and frozen label order preserved; replacement subsets nested across ratios; validation and test are real EEG,
success,vae_reconstruction_fixed_size_ratios_90_10_seed42,vae_replace_25pct_real,5,0,2,69,0.1724137931034483,0.7465277777777778,194,65,29,288,22,1000,real_vae_fixed_size_replacement,/home/jovyan/eeg-repro/high-gamma-data/data/processed/vae_repo_90_10_seed42/real_splits/S05_real_splits.npz,/home/jovyan/eeg-repro/high-gamma-data/data/generated/vae_repo_90_10_seed42/vae_reconstruction/S05_generator-seed0.npz,45.88629722222686,Fixed-size paired replacement; requested synthetic ratio=25%; real trials=194; synthetic trials=65; total trials=259; class counts and frozen label order preserved; replacement subsets nested across ratios; validation and test are real EEG,
success,vae_reconstruction_fixed_size_ratios_90_10_seed42,vae_replace_25pct_real,5,1,0,79,0.13793103448275867,0.5069444444444444,194,65,29,288,22,1000,real_vae_fixed_size_replacement,/home/jovyan/eeg-repro/high-gamma-data/data/processed/vae_repo_90_10_seed42/real_splits/S05_real_splits.npz,/home/jovyan/eeg-repro/high-gamma-data/data/generated/vae_repo_90_10_seed42/vae_reconstruction/S05_generator-seed1.npz,52.29033352062106,Fixed-size paired replacement; requested synthetic ratio=25%; real trials=194; synthetic trials=65; total trials=259; class counts and frozen label order preserved; replacement subsets nested across ratios; validation and test are real EEG,
success,vae_reconstruction_fixed_size_ratios_90_10_seed42,vae_replace_25pct_real,5,1,1,90,0.13793103448275867,0.5972222222222222,194,65,29,288,22,1000,real_vae_fixed_size_replacement,/home/jovyan/eeg-repro/high-gamma-data/data/processed/vae_repo_90_10_seed42/real_splits/S05_real_splits.npz,/home/jovyan/eeg-repro/high-gamma-data/data/generated/vae_repo_90_10_seed42/vae_reconstruction/S05_generator-seed1.npz,60.60649037361145,Fixed-size paired replacement; requested synthetic ratio=25%; real trials=194; synthetic trials=65; total trials=259; class counts and frozen label order preserved; replacement subsets nested across ratios; validation and test are real EEG,
